direction,documents,segments,replaced_segments,replaced_percent,mean_document_selection_cesa,mean_document_candidate_coverage,observed_final_segments,mean_final_cesa,mean_final_major_errors
ces_Latn---deu_Latn,244,655,20,3.053435114503817,94.00733772147707,1.0,655,95.30152671755725,0.05877862595419847
ces_Latn---ukr_Cyrl,200,516,40,7.751937984496124,93.91660714285715,1.0,516,94.32170542635659,0.14437984496124032
ces_Latn---vie_Latn,20,49,1,2.0408163265306123,98.425,1.0,49,98.16326530612245,0
eng_Latn---arz_Arab,198,691,22,3.183791606367583,90.13505355672908,1.0,691,87.61215629522431,0.008683068017366137
eng_Latn---bel_Cyrl,198,691,87,12.590448625180898,89.60778139471748,1.0,691,93.03304389773275,0.11601543656536421
eng_Latn---ces_Latn,97,326,28,8.588957055214724,92.17218427794326,1.0,326,90.23006134969326,0.12269938650306748
eng_Latn---deu_Latn,198,691,53,7.6700434153400865,87.87575260492211,1.0,691,92.51808972503618,0.07959479015918958
eng_Latn---ekk_Latn,198,691,50,7.23589001447178,92.69729726963043,1.0,691,92.64954172696575,0.10516160154365653
eng_Latn---hye_Armn,198,691,35,5.065123010130246,96.66577965084393,1.0,691,96.4327062228654,0.08104196816208394
eng_Latn---ind_Latn,198,691,21,3.0390738060781475,96.94736933706369,1.0,691,96.41461649782923,0.04052098408104197
eng_Latn---isl_Latn,198,691,50,7.23589001447178,96.15551020218005,1.0,691,96.49662325132658,0.05137481910274964
eng_Latn---jpn_Jpan,198,691,2,0.2894356005788712,98.99942336524897,1.0,691,98.46960926193921,0
eng_Latn---kaz_Cyrl,198,691,26,3.7626628075253254,95.14312379904868,1.0,691,94.39339122045345,0.020742884708152436
eng_Latn---kor_Hang,112,386,15,3.8860103626943006,91.56620736361614,1.0,386,91.48963730569949,0.007772020725388601
eng_Latn---lij_Latn,198,691,132,19.1027496382055,90.70428260041407,1.0,691,91.1396526772793,0.34346357935359384
eng_Latn---lld_Latn,198,691,131,18.958031837916064,84.0496409500203,1.0,691,86.25542691751086,0.39025566811384466
eng_Latn---rus_Cyrl,198,691,32,4.630969609261939,94.5439732827573,1.0,691,96.410998552822,0.02170767004341534
eng_Latn---sme_Latn,44,165,45,27.272727272727273,80.43641396482306,1.0,165,75.98484848484848,0.3393939393939394
eng_Latn---tha_Thai,198,691,35,5.065123010130246,96.41331268222936,1.0,691,94.8142788229619,0.035938253738543174
eng_Latn---ukr_Cyrl,198,691,5,0.723589001447178,98.16133448654688,1.0,691,97.33719247467438,0.002894356005788712
eng_Latn---zho_Hans,51,165,15,9.090909090909092,88.30072052130876,1.0,165,90.48484848484848,0
eng_Latn---zho_Hant_TW,51,192,12,6.25,89.85720651897122,1.0,192,92.55208333333333,0.036458333333333336
zho_Hans---jpn_Jpan,190,541,5,0.9242144177449169,94.3123556998557,1.0,541,89.97689463955638,0.08317929759704251
