direction,doc_id,document_key,segment_index,document_selected_system,document_score,document_major_errors,document_annotated_segments,document_total_segments,selection_action,final_system,selected_score,selected_major_errors,final_score,final_major_errors,final_annotations
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu00733,edu_###_edu00733,0,DeepSeek V4 Pro,93.33333333333333,0,3,3,retain,DeepSeek V4 Pro,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu00733,edu_###_edu00733,1,DeepSeek V4 Pro,93.33333333333333,0,3,3,retain,DeepSeek V4 Pro,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu00733,edu_###_edu00733,2,DeepSeek V4 Pro,93.33333333333333,0,3,3,retain,DeepSeek V4 Pro,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu00761,edu_###_edu00761,0,Gemini 3.1 Pro,70.0,1,1,1,score_below_80,Gemini 3.1 Pro,70.0,1,70.0,1,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01691,edu_###_edu01691,0,GPT 5.5,98.33333333333333,0,6,6,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01691,edu_###_edu01691,1,GPT 5.5,98.33333333333333,0,6,6,retain,GPT 5.5,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01691,edu_###_edu01691,2,GPT 5.5,98.33333333333333,0,6,6,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01691,edu_###_edu01691,3,GPT 5.5,98.33333333333333,0,6,6,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01691,edu_###_edu01691,4,GPT 5.5,98.33333333333333,0,6,6,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01691,edu_###_edu01691,5,GPT 5.5,98.33333333333333,0,6,6,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01885,edu_###_edu01885,0,DeepSeek V4 Pro,100.0,0,1,1,retain,DeepSeek V4 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01887,edu_###_edu01887,0,GPT 5.5,95.0,0,2,2,retain,GPT 5.5,100.0,0,100.0,0,1
